Public_MAG_ID	public_fasta_filename	original_fasta_filename	Unique_MAG_ID	genome_file	AT_BatchID	user_genome
RESPICAT_MAG_000812	RESPICAT_MAG_000812.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG174.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG174	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG174.fasta	URT_B6_PRJNA917836_B2	MAG174
RESPICAT_MAG_000813	RESPICAT_MAG_000813.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG431.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG431	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG431.fasta	URT_B6_PRJNA917836_B2	MAG431
RESPICAT_MAG_000814	RESPICAT_MAG_000814.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG435.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG435	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG435.fasta	URT_B6_PRJNA917836_B2	MAG435
RESPICAT_MAG_000815	RESPICAT_MAG_000815.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG437.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG437	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983386_MAG437.fasta	URT_B6_PRJNA917836_B2	MAG437
RESPICAT_MAG_000816	RESPICAT_MAG_000816.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983388_MAG324.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983388_MAG324	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983388_MAG324.fasta	URT_B6_PRJNA917836_B2	MAG324
RESPICAT_MAG_000817	RESPICAT_MAG_000817.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983388_MAG440.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983388_MAG440	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983388_MAG440.fasta	URT_B6_PRJNA917836_B2	MAG440
RESPICAT_MAG_000818	RESPICAT_MAG_000818.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983389_MAG015.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983389_MAG015	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983389_MAG015.fasta	URT_B6_PRJNA917836_B2	MAG015
RESPICAT_MAG_000819	RESPICAT_MAG_000819.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG055.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG055	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG055.fasta	URT_B6_PRJNA917836_B2	MAG055
RESPICAT_MAG_000820	RESPICAT_MAG_000820.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG252.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG252	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG252.fasta	URT_B6_PRJNA917836_B2	MAG252
RESPICAT_MAG_000821	RESPICAT_MAG_000821.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG441.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG441	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG441.fasta	URT_B6_PRJNA917836_B2	MAG441
RESPICAT_MAG_000822	RESPICAT_MAG_000822.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG442.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG442	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG442.fasta	URT_B6_PRJNA917836_B2	MAG442
RESPICAT_MAG_000823	RESPICAT_MAG_000823.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG443.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG443	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG443.fasta	URT_B6_PRJNA917836_B2	MAG443
RESPICAT_MAG_000824	RESPICAT_MAG_000824.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG445.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG445	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983390_MAG445.fasta	URT_B6_PRJNA917836_B2	MAG445
RESPICAT_MAG_000825	RESPICAT_MAG_000825.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983391_MAG337.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983391_MAG337	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983391_MAG337.fasta	URT_B6_PRJNA917836_B2	MAG337
RESPICAT_MAG_000826	RESPICAT_MAG_000826.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983391_MAG414.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983391_MAG414	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983391_MAG414.fasta	URT_B6_PRJNA917836_B2	MAG414
RESPICAT_MAG_000827	RESPICAT_MAG_000827.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983392_MAG446.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983392_MAG446	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983392_MAG446.fasta	URT_B6_PRJNA917836_B2	MAG446
RESPICAT_MAG_000828	RESPICAT_MAG_000828.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983394_MAG450.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983394_MAG450	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983394_MAG450.fasta	URT_B6_PRJNA917836_B2	MAG450
RESPICAT_MAG_000829	RESPICAT_MAG_000829.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983395_MAG019.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983395_MAG019	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983395_MAG019.fasta	URT_B6_PRJNA917836_B2	MAG019
RESPICAT_MAG_000830	RESPICAT_MAG_000830.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983396_MAG320.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983396_MAG320	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983396_MAG320.fasta	URT_B6_PRJNA917836_B2	MAG320
RESPICAT_MAG_000831	RESPICAT_MAG_000831.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983396_MAG454.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983396_MAG454	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983396_MAG454.fasta	URT_B6_PRJNA917836_B2	MAG454
RESPICAT_MAG_000832	RESPICAT_MAG_000832.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983397_MAG455.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983397_MAG455	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983397_MAG455.fasta	URT_B6_PRJNA917836_B2	MAG455
RESPICAT_MAG_000833	RESPICAT_MAG_000833.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG258.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG258	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG258.fasta	URT_B6_PRJNA917836_B2	MAG258
RESPICAT_MAG_000834	RESPICAT_MAG_000834.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG439.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG439	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG439.fasta	URT_B6_PRJNA917836_B2	MAG439
RESPICAT_MAG_000835	RESPICAT_MAG_000835.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG457.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG457	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG457.fasta	URT_B6_PRJNA917836_B2	MAG457
RESPICAT_MAG_000836	RESPICAT_MAG_000836.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG466.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG466	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG466.fasta	URT_B6_PRJNA917836_B2	MAG466
RESPICAT_MAG_000837	RESPICAT_MAG_000837.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG467.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG467	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983403_MAG467.fasta	URT_B6_PRJNA917836_B2	MAG467
RESPICAT_MAG_000838	RESPICAT_MAG_000838.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983404_MAG468.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983404_MAG468	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983404_MAG468.fasta	URT_B6_PRJNA917836_B2	MAG468
RESPICAT_MAG_000839	RESPICAT_MAG_000839.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983405_MAG046.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983405_MAG046	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983405_MAG046.fasta	URT_B6_PRJNA917836_B2	MAG046
RESPICAT_MAG_000840	RESPICAT_MAG_000840.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983405_MAG330.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983405_MAG330	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983405_MAG330.fasta	URT_B6_PRJNA917836_B2	MAG330
RESPICAT_MAG_000841	RESPICAT_MAG_000841.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983405_MAG469.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983405_MAG469	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983405_MAG469.fasta	URT_B6_PRJNA917836_B2	MAG469
RESPICAT_MAG_000842	RESPICAT_MAG_000842.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983407_MAG471.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983407_MAG471	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983407_MAG471.fasta	URT_B6_PRJNA917836_B2	MAG471
RESPICAT_MAG_000843	RESPICAT_MAG_000843.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983408_MAG473.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983408_MAG473	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983408_MAG473.fasta	URT_B6_PRJNA917836_B2	MAG473
RESPICAT_MAG_000844	RESPICAT_MAG_000844.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983408_MAG474.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983408_MAG474	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983408_MAG474.fasta	URT_B6_PRJNA917836_B2	MAG474
RESPICAT_MAG_000845	RESPICAT_MAG_000845.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983409_MAG203.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983409_MAG203	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983409_MAG203.fasta	URT_B6_PRJNA917836_B2	MAG203
